gat_kodas,tipas,pavadinimas,gyvenamoji_vietove._id
1122775,gatvė,Pyvesos,43226575-6207-4aa5-bc03-b71cf1c28bc7
1123088,gatvė,Saulėtekio,229c602b-cb0a-45ec-818d-42432430d096
1123179,gatvė,Tujų,c9a461d5-933f-4d02-8519-32995f46805c
1123312,gatvė,Gluosnių,38b16c85-e6be-40cb-b5c6-ab388bd9b63b
1123331,gatvė,Peršėkės,db6cdc43-f069-4973-a537-c0d37c32c4c4
1123399,gatvė,Rasos 1-oji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123403,gatvė,Rasos 2-oji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123418,gatvė,Rasos 3-ioji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123422,gatvė,Rasos 4-oji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123437,gatvė,Rasos 5-oji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123441,gatvė,Rasos 7-oji,de0f3c2a-af40-44ca-9263-12c7931b427b
1123456,gatvė,Airėnų Sodų 3-ioji,830a030e-996e-4d16-8cea-02fb0747bff5
1123475,gatvė,Airėnų Sodų 6-oji,830a030e-996e-4d16-8cea-02fb0747bff5
1123494,gatvė,Airėnų Sodų 7-oji,830a030e-996e-4d16-8cea-02fb0747bff5
1123547,gatvė,Ežero,9c02e83c-48f6-410d-8a67-fcbb661a3861
1123551,gatvė,Semeliškių,9c02e83c-48f6-410d-8a67-fcbb661a3861
1123604,gatvė,Šušvės,14f5214f-238b-4931-95ec-73e786c0a6c9
1123623,gatvė,Beržų,bb3e95c0-6538-4bdd-aa7e-51bfc52b250a
1123638,gatvė,Pirties,bb3e95c0-6538-4bdd-aa7e-51bfc52b250a
1123661,gatvė,Verniejaus,33c67940-a38b-4ba7-927f-08a83820300c
1123676,gatvė,Trakų,33c67940-a38b-4ba7-927f-08a83820300c
1123695,gatvė,Paparčių,33c67940-a38b-4ba7-927f-08a83820300c
1123714,gatvė,Gilūšio,e62d6e86-2878-4dc9-9a5e-cd07d7bc03b1
1123729,gatvė,Šaltinių,e62d6e86-2878-4dc9-9a5e-cd07d7bc03b1
1123733,gatvė,Pyvesos,ad4daabb-a631-422e-bb9c-7c252a15f3ac
1123748,gatvė,Trakų,3f51cbd6-eb37-4d9d-805b-ab527fc8cf0e
1123752,gatvė,Sudervės,7f4e166a-57f2-470a-96ed-3e32e8276316
1123767,gatvė,Baluosio,7f4e166a-57f2-470a-96ed-3e32e8276316
1123771,gatvė,Grikienių,7f4e166a-57f2-470a-96ed-3e32e8276316
1123786,gatvė,Slėnio,7f4e166a-57f2-470a-96ed-3e32e8276316
1123805,gatvė,Vileišių,3e947d59-b9e3-4978-8b39-e98e6b24c505
1123824,gatvė,Trakų,39e5a8f9-b1f0-49df-8d52-5c08c609cd50
1123839,gatvė,Gilūšio,39e5a8f9-b1f0-49df-8d52-5c08c609cd50
1123843,gatvė,Pijuoso,a578797c-42e9-4de4-8714-82bc8a7d7198
1123862,gatvė,Žolynų,a578797c-42e9-4de4-8714-82bc8a7d7198
1123877,gatvė,Mokyklos,e9ef1868-84b9-4c6a-84fd-1980624815da
1123881,gatvė,Jaunystės,e9ef1868-84b9-4c6a-84fd-1980624815da
1123896,gatvė,Ąžuolų,e9ef1868-84b9-4c6a-84fd-1980624815da
1123915,gatvė,Žiedo,e9ef1868-84b9-4c6a-84fd-1980624815da
1123934,gatvė,Švenčiaus,02a7ce33-835c-4d1c-9f6c-aa1ed5c7e364
1123949,gatvė,Verniejaus,ab0c79a7-4560-40ed-9d2b-0fcea321454f
1123953,gatvė,Parko,70d6d4c9-7759-479f-a22e-d391ddc0a7be
1123968,gatvė,Saulėtekio,70d6d4c9-7759-479f-a22e-d391ddc0a7be
1123972,gatvė,Pievų,70d6d4c9-7759-479f-a22e-d391ddc0a7be
1123987,gatvė,Tvenkinio,21dcacdb-87b4-44fe-bea8-9ee5cab19114
1123991,gatvė,Sodo,21dcacdb-87b4-44fe-bea8-9ee5cab19114
1124008,gatvė,Taučionių,75ee63fd-912f-4a5a-aa0b-175b8e8ba04e
1124012,gatvė,Plentų,75ee63fd-912f-4a5a-aa0b-175b8e8ba04e
1124027,gatvė,Žilinų,75ee63fd-912f-4a5a-aa0b-175b8e8ba04e
1124122,gatvė,Ąžuolo,1897179d-e963-4e51-a40f-0f8150ce335b
1124137,gatvė,Beržų,11c85ecb-d4ee-43a2-8c71-e34741b04f99
1124266,gatvė,Plento,697dd32e-3817-467b-9962-9983ebcfab3f
1124304,gatvė,Broniaus Uoginto,de8159e8-7be8-4876-b884-334c855b471c
1124338,gatvė,Senvagės,911bf0f6-a7ad-46b1-8158-76826a04bd88
1124361,gatvė,Vilkiškių,f573c957-d48d-4b9a-96d0-f063c11a6ec1
1124414,gatvė,Ežero,4b93f6ff-c86c-4607-add7-333d13c6d88c
1124471,gatvė,Sodiečių 4-oji,9d99eadd-e68e-4c20-97e9-4b6787a2e3de
1124486,gatvė,Sodiečių 6-oji,9d99eadd-e68e-4c20-97e9-4b6787a2e3de
1124505,gatvė,Liepų,152ad2c0-4ead-4a49-812a-ea48d38cf55c
1124558,gatvė,Melėnų,ad4daabb-a631-422e-bb9c-7c252a15f3ac
1124562,gatvė,Lauko,314315f9-b571-431c-a2bb-b1c83af4c8cd
1124577,gatvė,Alyvų,314315f9-b571-431c-a2bb-b1c83af4c8cd
1124596,gatvė,Liepų,956abe57-360b-43f3-8fbb-7998a54c49d9
1124615,gatvė,Tuopų,956abe57-360b-43f3-8fbb-7998a54c49d9
1124634,gatvė,Beržų,956abe57-360b-43f3-8fbb-7998a54c49d9
1124649,gatvė,Linkuvos,956abe57-360b-43f3-8fbb-7998a54c49d9
1124668,gatvė,Kazio Plesevičiaus,699ad6f9-04f0-4b9f-b094-388ee759bfde
1124672,gatvė,Linkuvos,699ad6f9-04f0-4b9f-b094-388ee759bfde
1124687,gatvė,Dvaro,699ad6f9-04f0-4b9f-b094-388ee759bfde
1124691,gatvė,Klevų,53b6ba0d-6bcb-49c5-8ba9-0272cbff92ce
1124706,gatvė,Rožių,45df04cb-e230-40f1-9c97-4aca9cbd225c
1124725,gatvė,Gustonių,d0968883-08d6-4087-8c70-43179e47d517
